"","total_nitrogen","zinc","molybdenum","iron","copper","sodium","phosphorus","potassium","calcium","magnesium","sulphur","manganese","boron","crop_name"
"CS103PA0109",2.6236457824707,44.8,0.45,129,8.39,36.9,0.18,1.37,0.72,0.27,0.21,464,25.6,"Avocado"
"CS103PA0110",2.59066295623779,46.1,0.5,133,4.27,19,0.2,1.28,0.94,0.27,0.22,272,22.5,"Avocado"
"CF177PA1472",5.14881992340088,341,1.57,126,6.21,17.6,0.29,0.72,1.23,0.16,0.2,820,107,"Pecan Nut"
"CA170PA0506",5.45895,24.3,0.1,122,28.6,42.3,0.12,0.78,1.31,0.32,0.19,568,15.3,"Avocado"
"CK002PA1956",1.5162,50.1,1.2,176,45.8,42,0.083,0.9,1.67,0.54,0.19,792,36,"Avocado"
"CK002PA1957",2.536275,79.5,0.8,342,35.3,62.2,0.16,1.15,1.48,0.62,0.16,464,28.9,"Avocado"
"FA222-21PA0001",1.708875,25.3,4.58,128,6.07,3.76,0.12,1.59,1.77,0.37,0.2,505,59.2,"Avocado"
"CV002PA0724",0.699971437454224,9.59,0.41,43.2,10.7,34.2,0.065,0.6,0.68,0.51,0.11,78.1,28.6,"Avocado"
"CF177PA0687",1.27647268772125,8.88,0.9,182,3.37,3.77,0.15,0.59,0.74,0.11,0.2,115,44.1,"Macadamia"
"CF177PA0685",1.45615470409393,5.98,0.57,118,2.33,6.2,0.17,0.7,0.62,0.11,0.19,109,30.6,"Macadamia"
"CF177PA0688",1.62949538230896,6.18,0.7,54.8,3.4,1.84,0.23,1.19,0.37,0.11,0.2,27,25.8,"Macadamia"
"CT257PA0005",1.81967651844025,28.1,0.11,71.7,5.95,10.3,0.11,0.77,1.68,0.61,0.22,449,20.4,"Avocado"
"CF177PA0686",1.2136036157608,13.6,0.89,118,5.21,19.2,0.19,0.87,0.43,0.11,0.2,37.2,30,"Macadamia"
"CF177PA0694",1.71150398254395,10.3,0.8,69.4,4.76,5.6,0.3,1.21,0.42,0.13,0.34,28.1,45.5,"Macadamia"
"CF177PA0695",1.14592957496643,7.12,0.32,85.4,2.33,4.44,0.16,0.62,0.55,0.15,0.15,71.3,28.4,"Macadamia"
"CF177PA0692",1.40036034584045,7.26,0.32,81.4,3.54,12.7,0.19,1.08,0.32,0.097,0.27,45.6,43.1,"Macadamia"
"CF177PA0693",1.36384642124176,6.1,0.1,103,1.84,3.5,0.17,0.66,0.66,0.13,0.23,179,38.3,"Macadamia"
"CF177PA0684",1.6966689825058,19.9,0.9,115,9.22,47.3,0.16,1.31,0.44,0.11,0.27,50.5,54.6,"Macadamia"
"CF177PA0683",1.42782270908356,12.8,0.44,150,4.36,10.4,0.16,0.63,0.56,0.1,0.21,112,31.2,"Macadamia"
"CF177PA0689",1.60761964321136,9.35,0.25,132,2.96,23.7,0.14,0.72,0.84,0.14,0.24,189,38.8,"Macadamia"
"CF177PA0690",1.45548701286316,8.99,0.1,42.6,3.37,12.1,0.19,0.97,0.25,0.1,0.17,25,24.6,"Macadamia"
"CF177PA0696",1.14243996143341,6.9,0.81,105,2.04,1.73,0.18,1.25,0.27,0.068,0.16,15.1,38.4,"Macadamia"
"CF177PA0691",1.32835125923157,8.13,0.35,110,1.96,12.8,0.087,0.64,0.97,0.18,0.18,255,41.2,"Macadamia"
"CA028PA0466",1.0399581193924,17.7,0.1,35.5,10.3,116,0.14,1.51,0.062,0.11,0.099,18.4,27.5,"Avocado"
"CB016PA0016",1.953,27.1,0.12,132,37.5,22.9,0.068,0.94,0.98,0.4,0.12,1070,14.2,"Avocado"
"CM034PA0101",2.83278632164001,21.2,0.1,119,67.6,20.8,0.15,0.77,2.21,0.74,0.28,1320,23.8,"Avocado"
"CM034PA0102",2.48576593399048,27.2,0.1,111,9.97,6.48,0.15,1.16,1.44,0.56,0.26,841,29.8,"Avocado"
"CM034PA0103",2.26502799987793,23.9,0.26,107,13.3,8.88,0.15,0.89,1.87,0.69,0.3,792,24.4,"Avocado"
"CF177PA0609",1.29495799541473,10.9,0.21,28.1,8.54,19.8,0.14,0.89,0.21,0.096,0.13,359,13.5,"Macadamia"
"CF177PA0610",1.35129332542419,9.02,0.14,48.2,22.9,10.3,0.12,0.72,0.38,0.1,0.13,408,18.3,"Macadamia"
"CB016PA0017",2.36565,24.2,0.72,142,16.5,32.5,0.12,1.06,1.12,0.52,0.17,1040,20.7,"Avocado"
"FA324-368PA0001",2.18706293706294,35.2,0.16,84.4,5.67,20.4,0.16,1.2,0.57,0.23,0.19,190,30.4,"Avocado"
"FA324-368PA0002",2.11468531468531,35.7,0.1,86.5,7.04,13.6,0.16,1.22,0.6,0.26,0.2,371,52.1,"Avocado"
"CF177PA0611",1.35435914993286,9.21,0.1,53.7,4.7,4.33,0.12,0.73,0.2,0.096,0.15,508,12,"Macadamia"
"CK002PA1958",1.498875,20.6,0.12,30,8.09,0.05,0.16,1.74,0.12,0.15,0.11,36.9,41.9,"Avocado"
"CV002PA0698",2.11048951048951,35.2,0.64,98.3,16.2,34.8,0.28,1.49,1.34,0.42,0.47,89.6,35.5,"Avocado"
"CK154PA0003",2.13550353050232,22.5,0.24,149,6.09,35.2,0.14,1.15,0.75,0.36,0.18,273,30,"Avocado"
"CK154PA0004",2.07144474983215,18.7,0.54,188,6.1,26.5,0.1,1.38,0.83,0.37,0.17,390,51,"Avocado"
"CK154PA0005",2.33985447883606,21.6,0.42,88.3,6.31,19.4,0.18,1.49,0.79,0.4,0.18,115,42.1,"Avocado"
"CK154PA0006",2.20980167388916,21.9,0.14,158,5.37,30.8,0.14,1.39,0.61,0.28,0.17,475,51,"Avocado"
"CO105PA0001",2.58073426573427,19.2,0.28,99.4,4.84,42.4,0.2,1.39,0.36,0.31,0.13,227,18.6,"Avocado"
"CO105PA0002",2.28424825174825,12.1,0.48,108,50.8,17,0.12,0.67,0.89,0.28,0.14,167,21.1,"Avocado"
"CO105PA0003",2.33270979020979,15.9,0.21,128,4.53,19.4,0.15,1.03,0.31,0.2,0.12,26.6,19.1,"Avocado"
"CO105PA0004",2.27034965034965,18.6,1.07,232,11.6,10.1,0.15,1.37,0.31,0.22,0.13,56.2,13.8,"Avocado"
"CO105PA0005",2.17814685314685,16.2,1.29,64.8,8.6,16.9,0.19,1.21,0.42,0.27,0.13,150,14,"Avocado"
"CO105PA0006",2.28755244755245,12.6,0.23,79.2,6.98,14.9,0.14,0.76,0.43,0.21,0.13,104,16.2,"Avocado"
"CO105PA0007",2.34629370629371,16.1,0.52,74.7,4.48,23.2,0.16,0.9,0.39,0.2,0.15,36.8,27.4,"Avocado"
"CO105PA0008",2.04629370629371,13.9,0.4,99.8,8.64,14.4,0.11,0.96,0.3,0.17,0.098,121,8.19,"Avocado"
"CA028PA0172",2.40135,17,0.15,177,313,36.9,0.13,0.8,0.98,0.52,0.17,441,22.6,"Avocado"
"CE066PA3506",1.54038461538462,13.7,0.15,127,6.18,60.1,0.15,0.76,0.91,0.1,0.12,729,30.8,"Macadamia"
"CE066PA3513",1.57027972027972,9.99,0.26,71.2,5.27,77.5,0.079,0.77,0.71,0.092,0.11,646,19.2,"Macadamia"
"CK002PA2238",2.19734265734266,31.6,0.14,56,8.17,24.3,0.17,1.66,0.17,0.15,0.13,41.3,50.1,"Avocado"
"CK002PA2239",1.64087412587413,25.8,0.18,39.9,7.98,8.11,0.2,1.82,0.15,0.19,0.13,46,67.8,"Avocado"
"CK002PA2240",3.13615384615385,29.4,0.1,42.7,8.44,1.59,0.16,1.68,0.17,0.19,0.13,110,37.8,"Avocado"
"CA028PA0234",5.86552447552448,26.3,0.1,110,113,20.8,0.2,1.13,1.29,0.39,0.29,109,41.6,"Avocado"
"CK025PA0472",1.52937062937063,10.4,0.1,116,10.4,8.92,0.055,0.5,0.74,0.082,0.14,2830,30.5,"Macadamia"
"CK025PA0452",1.79737762237762,10.9,0.31,317,8.2,36.6,0.078,0.67,0.56,0.086,0.15,1910,33.6,"Macadamia"
"CK025PA0499",1.93059440559441,10.4,0.35,93.8,6.46,5.7,0.058,0.53,0.73,0.082,0.15,3390,35.4,"Macadamia"
"CS018PA0003",2.73199300699301,19.6,2.2,48.9,3.4,5.26,0.19,1.93,2.12,0.48,0.23,111,45.8,"Avocado"
"CS018PA0004",3.02884615384615,28.9,4.13,61.8,2.17,1.39,0.17,1.19,1.47,0.39,0.25,150,27.8,"Avocado"
"CF177PA0254",3.00525283813477,374,1.87,96.3,8.69,9.37,0.3,1.43,1.05,0.44,0.27,264,41.1,"Pecan Nut"
"CF177PA0255",3.01016712188721,299,2.03,78.4,8.47,0.35,0.27,1.55,1.09,0.43,0.32,141,33.3,"Pecan Nut"
"CF177PA0256",2.67114806175232,290,0.58,153,5.46,0.05,0.17,1.51,1.15,0.42,0.26,1610,29,"Pecan Nut"
"CF177PA0257",2.40284705162048,150,0.79,124,3.69,0.05,0.21,1.6,0.84,0.43,0.27,562,37.6,"Pecan Nut"
"CF177PA0258",3.21610999107361,130,1.23,82.4,6.5,0.05,0.33,1.78,0.99,0.3,0.28,357,31.9,"Pecan Nut"
"CF177PA0259",3.74259543418884,224,3.6,74.2,9.21,0.05,0.34,1.79,1.09,0.45,0.26,138,66.3,"Pecan Nut"
"CF177PA0260",2.5029661655426,599,1.84,73.1,10.1,0.61,0.23,1.27,1.45,0.51,0.24,310,44.2,"Pecan Nut"
"CF177PA0261",3.08725023269653,143,2.81,73.8,7.72,0.05,0.31,1.82,0.9,0.37,0.27,244,31.4,"Pecan Nut"
"CF177PA0271",1.28624594211578,7.9,0.1,221,4.93,37.1,0.1,0.83,0.4,0.14,0.19,608,11.3,"Macadamia"
"CF177PA0616",0.951760411262512,8.33,0.1,24,4.29,13.2,0.12,0.64,0.22,0.086,0.11,315,14.6,"Macadamia"
"CA028PA0286",2.3694908618927,21,0.1,184,87.5,13.3,0.16,1,1.15,0.51,0.22,494,33.3,"Avocado"
"CA028PA0300",2.32261180877686,22.9,0.18,142,28,27,0.18,1.11,1.07,0.54,0.24,431,21.3,"Avocado"
"CA028PA0298",1.89786505699158,30.5,0.64,95.8,74.9,15.4,0.15,1.22,0.88,0.43,0.19,550,21.7,"Avocado"
"CF177PA0280",2.75745725631714,77.5,1.08,77.6,21.9,7.07,0.2,1.66,0.48,0.24,0.24,128,46.3,"Avocado"
"CR029PA0050",2.40408277511597,23.8,0.16,88.2,6.72,15.3,0.11,1.1,1.47,0.61,0.2,628,45.1,"Avocado"
"CR029PA0051",1.50460934638977,21.1,0.11,99.3,7.5,16,0.085,0.86,1.3,0.62,0.12,627,48.5,"Avocado"
"CR029PA0052",2.75218915939331,127,0.1,113,7.9,14.8,0.12,1.49,1.49,0.48,0.2,1040,25.7,"Avocado"
"CF177PA0283",2.67157793045044,75.3,0.81,101,26.3,4.68,0.28,1.96,0.38,0.22,0.26,204,101,"Avocado"
"CF177PA0284",2.34311819076538,84.1,1.31,75.4,21.5,0.21,0.21,1.79,0.5,0.25,0.25,226,67.2,"Avocado"
"CF177PA0285",2.48647236824036,76.8,2.15,86.3,24.2,3.88,0.27,2.03,0.55,0.24,0.25,155,80.8,"Avocado"
"FA324-300PA0001",2.79388111888112,41.3,0.12,73.1,15.2,16.8,0.31,1.49,0.56,0.22,0.23,574,22.6,"Avocado"
"CA028PA0299",2.20486283302307,19.9,0.42,162,52.3,19.7,0.17,0.92,1.43,0.59,0.34,187,23.9,"Avocado"
"CA028PA0301",2.07883143424988,17.8,0.47,116,134,25,0.15,0.95,1.04,0.52,0.22,332,29.6,"Avocado"
"CK002PA2396",1.9177972027972,11.7,0.38,295,3.35,12.4,0.055,0.47,1,0.071,0.15,4600,73.9,"Macadamia"
"CK002PA2404",1.82129370629371,7.33,0.38,94.7,4.03,1.97,0.076,0.53,0.43,0.075,0.14,1060,32.6,"Macadamia"
"CE066PA3127",1.39545,4.72,0.1,60.4,4.2,54.1,0.062,0.66,0.77,0.076,0.12,1100,20.1,"Macadamia"
"CE066PA3121",1.370775,5.34,0.1,70.7,4.95,37.8,0.068,0.68,0.6,0.083,0.11,629,23.7,"Macadamia"
"CE066PA3122",1.46265,4.84,0.1,80,4.69,37.5,0.048,0.63,0.69,0.072,0.11,1020,23.4,"Macadamia"
"CE066PA3123",1.5267,4.17,0.1,94,4.26,45.7,0.054,0.6,0.76,0.071,0.12,1360,22.3,"Macadamia"
"CE066PA3124",1.3965,6.31,0.1,96.2,4.48,45.5,0.057,0.66,0.7,0.081,0.13,1270,22.7,"Macadamia"
"CE066PA3125",1.370775,6.03,0.1,82.8,4.35,54.2,0.11,0.72,0.74,0.096,0.13,727,23.4,"Macadamia"
"CE066PA3126",1.546125,5.63,0.1,76.3,3.91,50.3,0.066,0.6,0.7,0.084,0.11,917,26.7,"Macadamia"
"CM034PA0082",2.89195804195804,20.8,0.18,131,68.3,8.64,0.15,1.01,1.32,0.56,0.23,863,21.8,"Avocado"
"CM034PA0083",1.63846153846154,15,0.31,101,60.3,15.2,0.1,1.03,0.7,0.35,0.1,477,20.6,"Avocado"
"CM034PA0084",2.59405594405594,17.1,0.34,120,47.3,17,0.14,1.03,1.32,0.66,0.21,292,21.6,"Avocado"
"CM034PA0085",1.51258741258741,13.2,0.46,92.4,68.2,22.5,0.1,1.07,0.65,0.39,0.1,178,19.8,"Avocado"
"FA324-300PA0002",1.90122377622378,18.1,0.24,155,6.49,11.3,0.11,0.82,0.8,0.31,0.15,358,10.8,"Avocado"
"FA324-300PA0003",2.23793706293706,34.7,0.36,61.6,15.1,25.3,0.22,1.39,0.52,0.21,0.16,305,17.5,"Avocado"
"FA324-300PA0004",1.88129370629371,18.2,0.1,206,6.03,9.24,0.12,0.77,0.88,0.35,0.13,378,12.3,"Avocado"
"FA324-300PA0005",2.39370629370629,35.9,0.91,67.1,13.1,7.11,0.27,1.29,0.53,0.2,0.17,256,16.6,"Avocado"
"FA324-300PA0006",1.90909090909091,20.6,0.45,228,8.7,8.47,0.14,0.92,0.81,0.35,0.13,454,17.9,"Avocado"
"FA324-300PA0007",2.53216783216783,36.5,0.68,65.7,13,18.1,0.28,1.36,0.48,0.19,0.19,306,16.3,"Avocado"
"FA324-300PA0008",1.6243006993007,24.1,0.21,233,7.61,35.5,0.13,0.74,0.74,0.33,0.14,524,17.6,"Avocado"
"FA324-300PA0009",2.35856643356643,36.4,0.35,75.9,16.5,22.1,0.29,1.68,0.53,0.23,0.2,312,18.6,"Avocado"
"FA324-300PA0010",1.83461538461538,23.8,0.32,212,8.4,13.4,0.14,0.71,0.65,0.35,0.15,243,15.2,"Avocado"
"CK002PA1959",1.040025,20.5,0.34,32.2,11,45.6,0.16,1.73,0.083,0.13,0.08,19.6,42,"Avocado"
"CK002PA1960",1.30935,21.5,0.38,38.8,9.59,41.8,0.16,1.87,0.12,0.14,0.077,32,77.6,"Avocado"
"CK002PA1961",1.180725,28.4,0.71,35.1,9.66,27.8,0.15,2.01,0.08,0.12,0.076,26.7,47.2,"Avocado"
"CK002PA2154",1.643775,9.86,0.1,126,3.68,11.3,0.058,0.75,1.13,0.074,0.11,1440,60.7,"Macadamia"
"CF177PA0304",2.55747699737549,62.2,0.87,105,16.4,9.48,0.23,1.38,0.46,0.24,0.24,155,91.3,"Avocado"
"CF177PA0305",1.77661383152008,60.2,0.75,74.4,11.8,8.86,0.15,1.14,0.42,0.24,0.18,208,51.9,"Avocado"
"FA324-607PA0001",0.974450647830963,33.3,0.1,183,3.42,53.7,0.088,1.38,1.1,0.36,0.13,858,21.6,"Avocado"
"CF177PA0664",1.08314251899719,11.4,0.1,44.3,3.62,28.7,0.091,0.7,0.44,0.074,0.16,757,30.4,"Macadamia"
"CA170PA0721",1.27531313896179,11.7,0.1,196,8.62,37.3,0.092,0.86,0.75,0.11,0.18,581,38.5,"Macadamia"
"CF177PA0665",1.32111275196075,7.6,0.1,48,4.53,0.17,0.1,0.7,0.49,0.076,0.19,1110,29.3,"Macadamia"
"CF177PA0666",1.0979917049408,10.6,0.1,59.1,3.78,28.3,0.11,0.84,0.47,0.12,0.18,598,31.8,"Macadamia"
"CA170PA0722",1.11429440975189,6.74,0.13,200,5.96,45.1,0.064,0.74,0.8,0.082,0.16,854,38.5,"Macadamia"
"CF177PA0667",1.11177182197571,9.46,0.15,64.2,4.91,8.61,0.1,0.73,0.54,0.1,0.19,924,32.5,"Macadamia"
"CA170PA0688",1.20760357379913,12.1,0.28,111,3.08,49,0.058,0.8,1.04,0.11,0.18,1790,46,"Macadamia"
"CF177PA0668",1.37444007396698,10.7,0.1,50.7,4.78,2.13,0.11,0.78,0.46,0.089,0.16,1080,25.7,"Macadamia"
"CF177PA0669",1.2640460729599,10.6,0.1,70,4.74,24.3,0.11,0.76,0.67,0.092,0.18,1980,27.6,"Macadamia"
"CF177PA0670",1.42899072170258,11.2,0.1,49.8,3.78,13,0.11,0.79,0.64,0.079,0.18,770,34,"Macadamia"
"CA170PA0723",1.20078074932098,8.71,2.09,134,5.4,34.6,0.071,0.67,0.34,0.098,0.12,469,18.7,"Macadamia"
"CF177PA0671",1.06404876708984,11.5,0.1,45.8,5.81,23.6,0.12,0.74,0.37,0.09,0.16,985,20.2,"Macadamia"
"CA170PA0689",1.39846277236938,6.9,0.31,101,2.68,11.7,0.053,0.67,1.08,0.094,0.18,2050,58.8,"Macadamia"
"CF177PA0672",1.21863198280334,9.13,0.1,53.1,4.16,0.05,0.088,0.77,0.52,0.084,0.22,1120,30.4,"Macadamia"
"CF177PA0673",0.890226542949677,8.56,0.1,43.8,3.83,7.13,0.083,0.73,0.44,0.1,0.16,842,28,"Macadamia"
"CF177PA0674",1.49166452884674,12.6,0.1,45,6.16,7.9,0.1,1.03,0.47,0.094,0.19,709,27.9,"Macadamia"
"CF177PA0660",1.54306733608246,8.05,0.1,49.8,5.03,7.75,0.13,0.78,0.51,0.082,0.2,942,23.9,"Macadamia"
"CF177PA0661",1.22889351844788,11.4,0.12,72.8,3.64,0.54,0.092,0.84,0.61,0.088,0.16,549,37.4,"Macadamia"
"CF177PA0682",1.6239207983017,10.1,0.1,45.3,4.28,0.77,0.12,0.73,0.42,0.083,0.15,443,26.6,"Macadamia"
"CF177PA0675",1.25738263130188,10.5,0.1,94.3,4.92,3.59,0.12,0.79,0.48,0.096,0.16,1290,36.4,"Macadamia"
"CF177PA0676",1.2232791185379,8.37,0.1,78.2,3.14,17.3,0.13,0.76,0.67,0.11,0.22,794,48.4,"Macadamia"
"CF177PA0677",1.08094453811646,8.81,0.11,59,3.3,26.4,0.11,0.72,0.67,0.1,0.18,384,38.3,"Macadamia"
"CF177PA0678",1.24609506130219,9.44,0.1,56.3,4.04,8.27,0.14,0.81,0.64,0.12,0.19,516,36.2,"Macadamia"
"CF177PA0679",1.16756522655487,6.84,0.1,56.3,3.2,5.04,0.097,0.76,0.5,0.086,0.17,991,27.1,"Macadamia"
"CA170PA0724",1.0901186466217,16.4,0.11,213,9.25,55.7,0.067,0.64,0.36,0.099,0.14,601,19.3,"Macadamia"
"CF177PA0680",1.62157106399536,6.56,0.19,52.8,3.32,0.05,0.09,0.68,0.55,0.095,0.17,522,35.6,"Macadamia"
"CF177PA0681",1.1826239824295,9.37,0.1,37.4,6.55,4.23,0.14,0.88,0.39,0.09,0.2,421,22.7,"Macadamia"
"CF177PA0662",1.12278831005096,11.7,0.1,57.6,5.92,8.22,0.14,0.77,0.43,0.083,0.15,1010,22.5,"Macadamia"
"CF177PA0663",2.01123070716858,10.8,0.1,47.3,5.55,13.9,0.12,0.67,0.48,0.09,0.17,1360,27.8,"Macadamia"
"CK025PA0534",1.16662800312042,9.81,0.33,141,4.68,18.5,0.047,0.47,0.78,0.068,0.14,3170,29.2,"Macadamia"
"CK025PA0535",1.17845189571381,10.8,0.1,157,4.35,11.3,0.057,0.6,0.65,0.069,0.15,2100,30.2,"Macadamia"
"CK002PA3004",1.06237781047821,118,0.74,293,176,40.6,0.055,0.79,2.59,0.61,0.2,1110,96.7,"Avocado"
"CK025PA0551",1.34709882736206,7.37,0.18,76.9,4.85,0.05,0.063,0.47,0.7,0.082,0.15,3900,22,"Macadamia"
"CK025PA0539",1.16894090175629,7.41,0.27,66,3.12,1.3,0.057,0.58,0.63,0.071,0.13,1830,20.9,"Macadamia"
"CK025PA0548",1.16499197483063,8.45,0.32,88.3,4.59,11.1,0.067,0.61,0.53,0.073,0.16,1670,16.8,"Macadamia"
"CK025PA0549",1.21037399768829,8.6,0.1,115,5.21,11.9,0.056,0.55,0.94,0.08,0.14,3950,38.5,"Macadamia"
"CK025PA0550",1.28110218048096,7.19,0.16,93.9,4.5,7.11,0.065,0.52,0.54,0.061,0.13,2520,16.5,"Macadamia"
"CK025PA0556",1.14488482475281,7.79,0.1,83.8,3.95,3.81,0.05,0.55,0.65,0.07,0.17,2490,26.3,"Macadamia"
"CK025PA0557",1.21778893470764,8.29,0.1,126,3.73,5.04,0.042,0.52,0.92,0.081,0.17,5220,42.9,"Macadamia"
"CK025PA0558",1.34175455570221,8.4,0.1,96.5,4.75,0.05,0.06,0.52,0.59,0.071,0.17,3000,22,"Macadamia"
"CK025PA0559",1.35820400714874,8.79,0.1,92.3,4.37,21.6,0.056,0.53,0.68,0.069,0.15,2420,21.7,"Macadamia"
"CK002PA3002",0.86713981628418,45.8,1.45,161,163,4.08,0.045,0.66,1.73,0.55,0.14,518,25.1,"Avocado"
"CK002PA3003",1.00049912929535,32.2,1.21,198,121,16.9,0.047,0.63,2,0.6,0.17,458,18.6,"Avocado"
"CK025PA0536",1.17380475997925,8.93,0.1,127,5.96,24.2,0.045,0.45,1.07,0.057,0.13,4310,34.5,"Macadamia"
"CK002PA2904",2.67487645149231,24.6,0.1,136,91.6,13.7,0.13,1.47,0.95,0.44,0.21,264,44.5,"Avocado"
"CF177PA0500",2.21882724761963,15.1,0.63,45.9,4.27,2.12,0.26,1.07,0.23,0.11,0.21,171,16.2,"Macadamia"
"CK002PA2905",2.29921674728394,21.2,0.13,146,98.6,17.2,0.14,1.33,1.01,0.54,0.2,670,39.3,"Avocado"
"CV002PA0697",2.85681818181818,37.4,0.31,110,12.1,52,0.22,1.12,1.21,0.46,0.32,487,44.8,"Avocado"
"CK002PA2907",2.97279024124146,19.2,0.1,105,157,17.1,0.12,1.17,0.86,0.48,0.18,407,29.3,"Avocado"
"CK002PA2908",2.20167851448059,18,0.1,101,86.1,10.3,0.12,1.17,0.82,0.41,0.17,373,44.3,"Avocado"
"CK002PA2709",1.95692133903503,26,0.77,161,231,26.1,0.14,1.2,1.31,0.57,0.22,524,51.2,"Avocado"
"CK002PA2710",1.92437314987183,26.8,0.41,165,206,16,0.15,1.55,0.91,0.51,0.21,442,66.6,"Avocado"
"CK002PA2711",1.76101791858673,26.5,0.4,157,169,21.3,0.14,1.35,1.01,0.52,0.21,329,43.3,"Avocado"
"CK002PA2712",1.85862290859222,27.1,1.51,189,399,17.8,0.13,1.48,0.96,0.54,0.2,536,53.7,"Avocado"
"CK002PA2713",2.1403489112854,25.4,0.21,121,92.3,19.7,0.16,1.19,1.37,0.63,0.23,749,58.5,"Avocado"
"CK002PA2909",2.21404814720154,17.2,0.1,70.3,93.2,10.1,0.13,1.16,0.73,0.36,0.16,198,18.6,"Avocado"
"FA616-308PA0001",2.59437062937063,45.1,0.12,116,13.6,26.8,0.22,1.53,0.46,0.24,0.18,271,24.9,"Avocado"
"FA616-308PA0002",2.45066433566434,47.5,0.17,190,13.8,48.6,0.23,1.55,0.45,0.23,0.19,397,15.6,"Avocado"
"CK025PA0466",1.7958041958042,19.7,0.1,133,6.14,12.4,0.051,0.56,0.78,0.1,0.18,3260,40.1,"Macadamia"
"CK025PA0448",1.95891608391608,13.6,0.1,706,9.64,49.1,0.067,0.7,0.95,0.076,0.18,3880,48.1,"Macadamia"
"CA028PA0307",2.70275115966797,19,0.13,84.3,20.3,24.7,0.18,1.31,1.2,0.47,0.23,123,30.9,"Avocado"
"CA028PA0308",3.52257680892944,20.6,0.42,86.2,17.6,26.6,0.19,1.41,1.17,0.44,0.23,189,36,"Avocado"
"CA028PA0309",3.04412460327148,22.1,0.22,75.3,13.5,20,0.19,1.23,0.86,0.35,0.22,158,26.1,"Avocado"
"CA028PA0310",3.34828734397888,18.8,0.12,59.3,51.6,17.6,0.17,1.14,0.77,0.35,0.21,149,21.1,"Avocado"
"CA028PA0311",4.30724382400513,16.3,0.13,123,16.2,21.2,0.17,1.15,1.29,0.59,0.24,313,41.9,"Avocado"
"CA028PA0312",2.90139245986938,17.6,0.1,86.6,34,23.2,0.18,1.31,1.14,0.53,0.27,151,33.5,"Avocado"
"CK002PA2932",1.74206614494324,21.7,0.75,126,133,12.7,0.13,1.14,0.77,0.49,0.19,349,36.7,"Avocado"
"CV002PA0699",2.87307692307692,26.6,0.22,123,10.4,6.37,0.21,1.12,1.12,0.41,0.25,118,38.4,"Avocado"
